"Name","HexRangeStart","HexRangeEnd","DecimalRangeStart","DecimalRangeEnd"
"Phags-pa","A840","A87F","43072","43135"
"Saurashtra","A880","A8DF","43136","43231"
"Devanagari Extended","A8E0","A8FF","43232","43263"
"Kayah Li","A900","A92F","43264","43311"
"Rejang","A930","A95F","43312","43359"
"Hangul Jamo Extended-A","A960","A97F","43360","43391"
"Javanese","A980","A9DF","43392","43487"
"Myanmar Extended-B","A9E0","A9FF","43488","43519"
"Cham","AA00","AA5F","43520","43615"
"Myanmar Extended-A","AA60","AA7F","43616","43647"
"Tai Viet","AA80","AADF","43648","43743"
"Meetei Mayek Extensions","AAE0","AAFF","43744","43775"
"Ethiopic Extended-A","AB00","AB2F","43776","43823"
"Latin Extended-E","AB30","AB6F","43824","43887"
"Cherokee Supplement","AB70","ABBF","43888","43967"
"Meetei Mayek","ABC0","ABFF","43968","44031"
"Hangul Syllables","AC00","D7AF","44032","55215"
"Hangul Jamo Extended-B","D7B0","D7FF","55216","55295"
"High Surrogates","D800","DB7F","55296","56191"
"High Private Use Surrogates","DB80","DBFF","56192","56319"
"Low Surrogates","DC00","DFFF","56320","57343"
"Private Use Area","E000","F8FF","57344","63743"
"CJK Compatibility Ideographs","F900","FAFF","63744","64255"
"Alphabetic Presentation Forms","FB00","FB4F","64256","64335"
"Arabic Presentation Forms-A","FB50","FDFF","64336","65023"
"Variation Selectors","FE00","FE0F","65024","65039"
"Vertical Forms","FE10","FE1F","65040","65055"
"Combining Half Marks","FE20","FE2F","65056","65071"
"CJK Compatibility Forms","FE30","FE4F","65072","65103"
"Small Form Variants","FE50","FE6F","65104","65135"
"Arabic Presentation Forms-B","FE70","FEFF","65136","65279"
"Halfwidth and Fullwidth Forms","FF00","FFEF","65280","65519"
"Specials","FFF0","FFFF","65520","65535"
"Linear B Syllabary","10000","1007F","65536","65663"
"Linear B Ideograms","10080","100FF","65664","65791"
"Aegean Numbers","10100","1013F","65792","65855"
"Ancient Greek Numbers","10140","1018F","65856","65935"
"Ancient Symbols","10190","101CF","65936","65999"
"Phaistos Disc","101D0","101FF","66000","66047"
"Lycian","10280","1029F","66176","66207"
"Carian","102A0","102DF","66208","66271"
"Coptic Epact Numbers","102E0","102FF","66272","66303"
"Old Italic","10300","1032F","66304","66351"
"Gothic","10330","1034F","66352","66383"
"Old Permic","10350","1037F","66384","66431"
"Ugaritic","10380","1039F","66432","66463"
"Old Persian","103A0","103DF","66464","66527"
"Deseret","10400","1044F","66560","66639"
"Shavian","10450","1047F","66640","66687"
"Osmanya","10480","104AF","66688","66735"
"Osage","104B0","104FF","66736","66815"
"Elbasan","10500","1052F","66816","66863"
"Caucasian Albanian","10530","1056F","66864","66927"
"Linear A","10600","1077F","67072","67455"
"Cypriot Syllabary","10800","1083F","67584","67647"
"Imperial Aramaic","10840","1085F","67648","67679"
"Palmyrene","10860","1087F","67680","67711"
"Nabataean","10880","108AF","67712","67759"
"Hatran","108E0","108FF","67808","67839"
"Phoenician","10900","1091F","67840","67871"
"Lydian","10920","1093F","67872","67903"
"Meroitic Hieroglyphs","10980","1099F","67968","67999"
"Meroitic Cursive","109A0","109FF","68000","68095"
"Kharoshthi","10A00","10A5F","68096","68191"
"Old South Arabian","10A60","10A7F","68192","68223"
"Old North Arabian","10A80","10A9F","68224","68255"
"Manichaean","10AC0","10AFF","68288","68351"
"Avestan","10B00","10B3F","68352","68415"
"Inscriptional Parthian","10B40","10B5F","68416","68447"
"Inscriptional Pahlavi","10B60","10B7F","68448","68479"
"Psalter Pahlavi","10B80","10BAF","68480","68527"
"Old Turkic","10C00","10C4F","68608","68687"
"Old Hungarian","10C80","10CFF","68736","68863"
"Hanifi Rohingya","10D00","10D3F","68864","68927"
"Rumi Numeral Symbols","10E60","10E7F","69216","69247"
"Yezidi","10E80","10EBF","69248","69311"
"Old Sogdian","10F00","10F2F","69376","69423"
"Sogdian","10F30","10F6F","69424","69487"
